Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1100,Sales,30,79007,8,44.2,96.4,Yes
1101,Sales,49,86489,11,48.5,72.1,Yes
1102,Finance,52,145813,5,45.9,89.6,Yes
1103,Engineering,35,118076,2,34.0,72.0,No
1104,Marketing,38,74933,2,40.8,72.8,No
1105,IT,28,82840,9,39.2,88.7,Yes
1106,Engineering,49,133150,2,40.8,67.4,No
1107,Human Resources,44,65130,8,32.8,75.6,Yes
1108,Operations,57,78431,5,31.3,73.1,No
1109,Engineering,29,93428,6,48.0,78.6,Yes
1110,Sales,34,77703,6,44.1,75.2,Yes
1111,Engineering,40,100690,6,43.2,88.8,Yes
1112,Engineering,44,90635,7,39.2,66.0,No
1113,Customer Support,35,41014,9,32.3,76.8,Yes
1114,IT,29,82471,9,38.8,87.6,Yes
1115,Finance,46,112211,2,38.9,69.0,No
1116,IT,45,97820,12,43.4,85.2,Yes
1117,IT,28,95170,2,42.3,86.1,Yes
1118,Engineering,51,101426,7,44.6,62.6,No
1119,IT,49,89777,8,42.5,89.8,Yes
1120,Marketing,39,75134,5,33.2,65.0,No
1121,IT,38,90662,10,39.5,81.9,Yes
1122,IT,43,109932,3,37.7,56.4,No
1123,Engineering,29,72998,3,42.7,66.9,No
1124,Sales,38,98345,4,42.4,67.7,No
1125,Engineering,22,94278,4,43.2,72.0,No
1126,Human Resources,46,67998,4,41.4,77.9,Yes
1127,IT,22,83359,8,40.0,76.4,No
1128,IT,53,94292,4,42.1,85.3,Yes
1129,Sales,34,89186,10,46.5,60.2,No
1130,Marketing,35,82732,9,41.5,55.0,No
1131,Human Resources,31,62010,4,41.4,65.9,Yes
1132,Engineering,35,90787,7,44.6,73.0,No
1133,Sales,52,54795,2,43.5,60.3,No
1134,Engineering,22,65792,9,39.0,87.3,Yes
1135,Customer Support,50,61615,14,39.4,87.6,No
1136,Engineering,41,84814,5,39.7,100.0,Yes
1137,Marketing,25,61609,8,41.0,80.4,Yes
1138,Operations,27,53417,7,43.5,93.8,Yes
1139,Human Resources,54,66248,0,46.7,67.3,No
1140,Customer Support,28,41470,10,41.0,80.2,Yes
1141,Customer Support,26,42491,5,42.9,56.2,No
1142,Engineering,49,129205,5,43.6,52.0,No
1143,Marketing,41,70356,3,42.1,86.1,Yes
1144,Engineering,28,74928,4,43.7,68.5,No
1145,Engineering,40,91286,7,40.2,83.9,Yes
1146,Sales,27,71878,8,40.4,63.0,Yes
1147,Finance,49,109728,2,45.3,65.2,No
1148,Marketing,48,46615,9,43.0,97.0,Yes
1149,Sales,43,101024,9,50.7,86.1,Yes
1150,Engineering,41,120816,5,45.4,84.6,No
1151,IT,55,96673,8,39.3,100.0,No
1152,Engineering,37,80119,4,37.5,78.9,No
1153,Sales,26,62661,4,46.4,67.6,Yes
1154,Marketing,42,70218,6,41.1,54.5,No
1155,Customer Support,58,77312,12,35.8,96.3,Yes
1156,Engineering,27,56500,4,44.2,73.3,No
1157,Operations,34,53267,6,39.2,78.3,No
1158,Operations,42,88623,8,41.5,76.7,No
1159,Engineering,37,80739,6,53.4,72.8,No
1160,Operations,28,68817,16,40.1,91.2,Yes
1161,Human Resources,49,74889,4,41.8,67.5,No
1162,Finance,61,86194,0,47.0,70.7,No
1163,Finance,39,98248,11,46.4,100.0,Yes
1164,Marketing,28,62673,4,43.7,69.7,Yes
1165,Sales,22,58136,11,46.8,94.5,Yes
1166,IT,40,97972,4,40.9,98.7,Yes
1167,Engineering,49,118474,6,47.7,97.8,Yes
1168,Engineering,42,111498,5,47.5,92.4,Yes
1169,Sales,37,94609,8,49.0,75.7,No
1170,Finance,32,85534,6,49.4,73.7,No
1171,Operations,27,45238,9,47.8,73.3,Yes
1172,Sales,46,84720,8,43.7,63.8,No
1173,Marketing,47,122091,4,38.2,62.3,Yes
1174,Engineering,22,80711,7,43.5,90.5,Yes
1175,Finance,53,146246,3,44.2,66.0,No
1176,Engineering,43,123592,4,43.9,92.3,Yes
1177,Operations,51,83937,5,50.1,79.8,No
1178,Human Resources,24,50797,5,38.5,68.3,No
1179,Customer Support,24,45648,9,37.4,53.5,No
1180,Sales,36,58554,12,46.2,90.6,No
1181,Engineering,43,102476,5,41.4,73.2,Yes
1182,Sales,55,120523,11,37.7,82.4,Yes
1183,Customer Support,45,58015,14,36.2,100.0,Yes
1184,IT,35,93172,5,37.1,95.8,Yes
1185,Engineering,27,89993,5,47.5,73.8,No
1186,Operations,50,69083,9,40.7,88.7,Yes
1187,IT,28,72999,5,40.8,93.2,Yes
1188,Finance,54,92526,4,43.2,96.4,Yes
1189,Marketing,35,62682,8,43.0,62.1,Yes
1190,Engineering,53,93757,6,43.0,89.2,Yes
1191,Sales,44,76806,3,46.3,82.5,Yes
1192,IT,36,108071,8,37.5,80.6,Yes
1193,IT,32,72206,8,39.9,82.1,Yes
1194,Finance,34,84778,8,37.5,95.6,Yes
1195,Engineering,42,93196,12,43.5,99.1,Yes
1196,Engineering,38,112034,4,38.9,65.4,No
1197,Operations,32,74193,8,49.4,96.2,Yes
1198,IT,36,100648,4,33.1,70.1,No
1199,IT,38,96015,9,48.7,90.4,Yes
1200,Operations,22,50197,7,44.9,77.9,Yes
1201,Finance,42,76866,6,41.8,87.4,Yes
1202,Sales,28,89890,10,47.2,66.8,Yes
1203,Engineering,26,69466,11,47.8,76.5,Yes
1204,IT,22,77188,3,48.5,77.1,Yes
1205,Finance,22,78343,5,43.0,88.7,Yes
1206,Sales,24,59402,5,37.0,71.6,Yes
1207,Sales,30,83210,8,44.7,77.0,Yes
1208,Operations,57,96972,9,41.9,82.0,Yes
1209,Sales,32,93684,9,47.6,100.0,Yes
1210,Engineering,39,89799,6,40.3,84.7,Yes
1211,Marketing,42,63923,4,36.5,74.7,Yes
1212,Operations,39,63768,9,41.9,86.2,No
1213,Operations,37,69098,8,49.5,97.6,No
1214,Engineering,26,79084,1,42.5,73.3,No
1215,Operations,52,77160,3,47.9,62.4,No
1216,Engineering,56,85919,1,40.3,77.6,Yes
1217,Engineering,22,77937,5,46.7,61.3,No
1218,Operations,27,73863,5,40.5,86.8,Yes
1219,Finance,35,90384,5,40.0,78.9,No
1220,IT,28,85454,7,46.5,92.6,Yes
1221,Operations,43,79268,5,49.3,81.4,Yes
1222,Finance,30,82645,10,35.4,87.7,Yes
1223,Sales,59,121725,13,49.0,99.5,Yes
1224,Human Resources,49,75316,2,34.6,91.3,Yes
1225,Engineering,40,93403,5,46.3,82.9,Yes
1226,Engineering,48,96161,9,46.1,90.8,Yes
1227,Customer Support,49,64642,5,44.3,75.7,No
1228,Human Resources,32,58429,4,46.8,79.0,No
1229,IT,29,75873,4,41.9,99.8,No
1230,Finance,38,92568,12,42.0,93.6,No
1231,Operations,46,81006,11,43.9,57.2,No
1232,Marketing,39,85385,10,40.5,67.9,No
1233,Finance,22,80607,15,42.0,67.9,No
1234,Marketing,29,65659,6,40.3,73.0,Yes
1235,Engineering,37,75399,4,46.5,68.0,No
1236,Operations,37,63531,9,38.8,90.1,Yes
1237,Engineering,57,122605,10,46.3,100.0,No
1238,Sales,24,46956,8,45.0,68.9,No
1239,Finance,43,114667,6,37.1,77.2,Yes
1240,Engineering,52,117251,3,44.4,83.2,Yes
1241,Customer Support,60,80876,8,31.8,100.0,Yes
1242,Customer Support,33,64518,7,38.3,70.4,No
1243,IT,42,88012,12,49.5,88.5,Yes
1244,Human Resources,43,71357,5,38.2,66.6,Yes
1245,Sales,39,81435,9,43.5,91.8,Yes
1246,Customer Support,37,55377,10,41.1,60.6,No
1247,Human Resources,42,57294,7,42.5,89.0,No
1248,Customer Support,22,55242,6,40.5,70.7,No
1249,Customer Support,44,59357,11,36.2,100.0,Yes
1250,IT,39,102923,11,42.9,91.4,Yes
1251,Engineering,35,65406,6,39.7,100.0,Yes
1252,Human Resources,58,93218,8,41.9,99.1,No
1253,IT,31,95347,8,40.5,68.7,No
1254,Engineering,33,89489,2,45.1,77.4,No
1255,Engineering,57,117653,8,45.6,83.1,No
1256,Finance,29,81302,10,44.7,99.5,Yes
1257,Customer Support,32,70792,15,34.9,77.3,Yes
1258,Operations,36,48543,12,38.0,98.3,Yes
1259,Finance,46,110389,8,38.5,71.0,No
1260,Sales,40,72513,8,41.1,84.2,Yes
1261,Finance,25,71286,3,55.0,83.1,Yes
1262,Customer Support,32,50740,15,40.6,98.8,Yes
1263,Sales,31,68497,8,45.9,58.3,No
1264,Marketing,37,73584,2,38.8,68.6,No
1265,IT,42,80663,5,44.8,68.6,Yes
1266,Operations,42,83115,5,43.2,90.7,Yes
1267,Operations,22,38005,5,45.4,72.5,Yes
1268,Operations,48,84315,4,46.4,39.2,No
1269,Human Resources,40,59914,1,41.7,77.5,Yes
1270,Engineering,51,93482,5,42.3,82.0,Yes
1271,IT,42,100150,10,36.9,100.0,Yes
1272,IT,49,81742,9,41.2,95.5,Yes
1273,IT,42,97779,6,45.3,84.7,Yes
1274,IT,51,86011,9,44.0,85.7,Yes
1275,Marketing,43,85856,2,42.3,64.6,No
1276,Marketing,37,63481,11,44.3,97.0,Yes
1277,Operations,60,83911,6,39.2,74.5,No
1278,Finance,46,103156,6,42.4,59.4,No
1279,Operations,43,64540,10,43.8,79.9,Yes
1280,Operations,25,54521,5,39.7,79.7,Yes
1281,IT,25,57389,4,43.1,58.5,No
1282,Engineering,40,107273,3,44.7,74.2,Yes
1283,Human Resources,39,78540,4,40.7,82.8,No
1284,Sales,31,103858,4,45.8,77.7,Yes
1285,Finance,39,90926,9,40.6,100.0,Yes
1286,Sales,53,111375,5,42.7,66.5,No
1287,Marketing,44,59658,8,35.6,75.5,Yes
1288,Marketing,26,75485,6,40.3,74.9,No
1289,Engineering,36,103158,6,39.6,72.5,Yes
1290,Finance,29,71132,2,39.8,65.6,No
1291,Sales,34,91052,7,45.2,67.6,No
1292,Sales,33,72714,1,43.5,47.1,No
1293,IT,33,79206,0,35.4,73.0,No
1294,Human Resources,25,53029,5,37.8,63.9,No
1295,Sales,36,66567,7,44.5,74.6,Yes
1296,Marketing,32,78651,2,36.6,59.7,No
1297,Operations,22,43763,11,45.4,100.0,Yes
1298,Engineering,58,103794,3,42.3,68.5,No
1299,Finance,48,87563,3,39.5,62.0,No
1300,Sales,34,85549,8,48.1,87.4,Yes
1301,Sales,38,74050,7,50.5,62.7,Yes
1302,Marketing,26,49144,5,40.7,91.7,Yes
1303,Marketing,54,84005,11,40.2,100.0,Yes
1304,Finance,56,111262,6,41.7,63.3,Yes
1305,Operations,39,56776,12,41.9,91.1,Yes
1306,Customer Support,48,54846,9,34.3,69.3,No
1307,Marketing,39,99937,4,41.5,70.7,No
1308,Engineering,24,65841,6,39.0,78.5,Yes
1309,Operations,33,59947,9,33.6,61.3,No
1310,Engineering,39,91278,7,50.1,93.3,Yes
1311,Marketing,33,64919,8,47.8,100.0,Yes
1312,Sales,35,85269,7,45.4,93.5,Yes
1313,Sales,37,91834,9,39.8,86.5,No
1314,Customer Support,37,54336,5,47.2,90.3,Yes
1315,IT,38,74773,6,43.1,74.3,No
1316,Operations,27,67896,8,42.5,79.9,Yes
1317,Human Resources,30,53227,6,46.1,90.0,Yes
1318,Engineering,25,96985,6,38.0,72.5,Yes
1319,Engineering,47,71488,3,33.7,81.2,Yes
1320,Engineering,22,74933,8,39.4,82.1,Yes
1321,Marketing,49,111909,3,43.9,88.0,Yes
1322,Operations,51,76707,11,53.1,100.0,Yes
1323,Operations,34,61835,9,41.1,98.8,Yes
1324,Engineering,22,76026,3,37.3,65.0,No
1325,Customer Support,34,49840,8,38.1,88.7,Yes
1326,Operations,37,63863,7,44.0,75.6,Yes
1327,Finance,27,70345,3,50.5,81.7,Yes
1328,Finance,32,73014,4,44.0,75.6,No
1329,Human Resources,53,88469,8,48.5,100.0,Yes
1330,Engineering,44,110765,4,47.5,86.1,Yes
1331,Human Resources,28,54162,6,43.7,79.0,No
1332,Operations,22,58306,17,38.1,83.7,Yes
1333,Sales,34,73754,9,43.4,100.0,Yes
1334,Sales,35,68941,3,46.0,74.1,Yes
1335,Sales,42,78589,13,34.5,74.2,No
1336,Sales,32,74419,3,42.3,56.6,No
1337,IT,43,82892,4,39.7,87.5,Yes
1338,Operations,57,80471,16,40.9,100.0,Yes
1339,Marketing,46,77127,13,49.5,93.3,Yes
1340,Sales,37,106022,9,47.0,79.2,Yes
1341,Marketing,36,42393,1,40.2,83.5,Yes
1342,Marketing,34,68503,2,33.6,64.1,No
1343,Engineering,49,139229,5,39.9,73.6,No
1344,Marketing,31,68326,10,47.4,80.7,No
1345,Human Resources,38,68116,5,37.6,68.4,No
1346,Finance,38,89723,8,41.4,99.7,Yes
1347,Finance,32,72531,7,37.8,100.0,Yes
1348,Sales,24,43008,6,45.7,94.8,Yes
1349,Human Resources,41,65869,0,41.3,67.0,No
1350,Finance,37,76966,4,43.7,88.0,No
1351,Marketing,43,70659,8,36.3,78.9,No
1352,IT,32,77435,7,43.0,76.8,Yes
1353,Operations,50,100938,10,42.4,75.7,Yes
1354,Engineering,29,112395,8,43.0,76.4,Yes
1355,Sales,55,105323,12,48.2,89.4,Yes
1356,Finance,22,62887,2,44.7,59.3,No
1357,Sales,42,71143,8,47.6,66.9,Yes
1358,Finance,42,100178,7,45.8,85.9,No
1359,Customer Support,30,64639,15,41.5,76.9,No
1360,Finance,42,90127,5,46.9,67.1,Yes
1361,Human Resources,50,46306,6,44.8,83.1,No
1362,Finance,22,74394,9,44.7,89.0,Yes
1363,Marketing,43,92169,10,44.4,76.7,No
1364,Marketing,22,43593,10,41.7,88.0,Yes
1365,Customer Support,28,50605,6,40.8,57.0,No
1366,Human Resources,54,80716,0,38.2,60.0,No
1367,Customer Support,32,52122,8,31.0,66.5,No
1368,IT,26,66632,4,46.8,78.5,No
1369,Engineering,36,106480,6,42.8,81.8,Yes
1370,Sales,58,99210,9,45.7,96.2,Yes
1371,Sales,22,48498,8,48.6,50.8,No
1372,Sales,27,47372,11,42.3,100.0,Yes
1373,Sales,52,117010,10,44.6,70.8,No
1374,Operations,56,93954,6,41.7,74.0,No
1375,Sales,36,80245,12,44.3,84.2,Yes
1376,Engineering,25,71914,7,40.4,73.1,No
1377,IT,58,109373,6,38.8,85.3,Yes
1378,Sales,53,83528,8,46.5,89.9,Yes
1379,IT,44,93434,4,33.6,80.3,No
1380,Engineering,29,56332,7,47.3,81.7,Yes
1381,Sales,37,71523,10,42.2,100.0,Yes
1382,Operations,36,62921,13,45.9,82.8,No
1383,Finance,41,100743,0,45.2,63.3,No
1384,IT,52,110037,9,39.8,100.0,Yes
1385,Operations,46,85062,11,45.7,100.0,Yes
1386,IT,27,92522,8,36.7,84.2,Yes
1387,Engineering,51,131399,10,39.8,67.6,No
1388,Engineering,41,106415,13,41.0,78.0,Yes
1389,Operations,44,74131,11,45.8,84.2,Yes
1390,IT,52,94414,9,39.6,99.2,Yes
1391,Customer Support,26,52883,14,37.4,73.5,Yes
1392,Human Resources,37,75493,6,43.3,98.5,No
1393,Human Resources,32,58663,5,41.6,78.1,No
1394,Operations,22,66954,16,53.4,100.0,Yes
1395,Engineering,41,76653,11,38.4,93.8,Yes
1396,Customer Support,63,65364,12,32.9,82.4,Yes
1397,IT,22,79205,9,48.6,59.6,No
1398,Human Resources,37,62690,4,41.0,47.0,No
1399,Operations,44,88582,10,49.3,83.2,Yes
1400,Operations,39,68839,1,40.0,71.0,Yes
1401,Sales,36,68888,10,43.0,75.9,Yes
1402,IT,25,71871,6,41.5,81.4,Yes
1403,Marketing,40,59297,15,41.0,100.0,Yes
1404,IT,30,67287,12,40.7,100.0,Yes
1405,Engineering,22,83419,9,35.7,76.2,Yes
1406,IT,49,120612,11,40.5,89.5,Yes
1407,Human Resources,47,73073,2,41.4,59.3,No
1408,Sales,38,60534,7,43.7,85.4,Yes
1409,IT,40,89419,7,44.9,83.9,Yes
1410,Sales,48,76401,10,48.9,84.7,Yes
1411,Engineering,40,115295,4,42.9,88.3,Yes
1412,Customer Support,47,59719,11,35.1,85.1,No
1413,Customer Support,35,46251,5,39.4,87.7,Yes
1414,Finance,51,105770,5,45.0,87.4,No
1415,Finance,41,83437,8,43.4,99.2,Yes
1416,Marketing,39,92792,10,38.0,76.4,No
1417,Engineering,25,68512,6,45.4,69.9,No
1418,Engineering,40,77431,3,43.7,87.5,Yes
1419,Operations,29,39946,10,42.4,79.1,No
1420,Operations,31,60718,9,44.6,69.8,Yes
1421,Operations,29,54026,14,40.3,64.6,No
1422,Operations,27,44782,8,36.5,76.2,No
1423,Sales,59,125851,10,38.9,75.3,Yes
1424,Marketing,51,98017,7,42.0,66.1,No
1425,Sales,57,103958,9,43.8,38.1,No
1426,Marketing,25,72881,5,42.7,77.0,Yes
1427,Marketing,38,82233,7,44.3,85.0,Yes
1428,IT,25,65085,5,42.4,66.6,No
1429,Human Resources,31,46342,2,37.4,56.4,No
1430,Sales,28,78139,8,46.6,100.0,Yes
1431,Sales,50,101707,6,43.4,73.3,Yes
1432,Operations,34,65629,5,42.7,75.7,No
1433,Finance,48,88524,10,47.2,94.2,Yes
1434,Sales,44,96897,8,47.3,88.0,Yes
1435,Sales,61,96824,10,43.3,71.3,Yes
1436,Operations,23,52189,9,40.7,81.8,Yes
1437,Sales,50,116835,6,50.5,77.9,Yes
1438,IT,49,96078,3,40.8,78.5,Yes
1439,Operations,28,44314,7,39.4,82.8,Yes
1440,Sales,48,78822,12,43.2,77.1,Yes
1441,Sales,41,97907,11,38.0,100.0,Yes
1442,Customer Support,35,57361,11,27.6,67.1,No
1443,Human Resources,29,52073,0,43.8,72.1,Yes
1444,Human Resources,30,49876,3,36.5,43.5,No
1445,IT,58,127449,8,36.1,91.2,Yes
1446,Customer Support,38,50438,11,35.7,96.2,Yes
1447,Customer Support,45,66672,9,36.7,88.9,Yes
1448,Operations,30,53418,9,41.6,93.2,Yes
1449,Human Resources,30,46728,5,36.4,82.7,No
1450,Sales,48,84649,6,44.8,76.3,No
1451,Operations,24,50959,12,43.0,81.8,Yes
1452,Finance,33,81300,4,49.8,90.3,Yes
1453,Human Resources,38,63361,6,38.5,70.1,Yes
1454,IT,39,41614,10,40.8,100.0,Yes
1455,Sales,36,69605,8,41.3,60.3,No
1456,Marketing,41,73512,6,43.6,88.9,Yes
1457,Sales,44,108847,6,51.7,67.2,Yes
1458,Marketing,45,69134,11,40.6,84.7,Yes
1459,Sales,28,71299,3,42.5,76.9,Yes
1460,Sales,35,95491,11,45.7,91.6,Yes
1461,Sales,49,76129,10,46.9,88.6,Yes
1462,Finance,46,104638,9,54.6,92.7,Yes
1463,Operations,24,47501,11,43.4,75.8,No
1464,Finance,41,85313,11,41.6,100.0,Yes
1465,Customer Support,22,38875,10,33.4,92.5,No
1466,Human Resources,38,54481,6,38.8,94.2,Yes
1467,Engineering,56,150000,2,40.3,77.9,No
1468,IT,28,88218,9,43.2,92.5,Yes
1469,Engineering,29,96250,3,40.9,54.3,Yes
1470,Customer Support,45,68454,9,33.9,84.2,Yes
1471,Sales,22,47365,2,40.8,75.2,Yes
1472,Customer Support,31,54921,11,36.3,100.0,Yes
1473,Sales,43,101698,12,48.0,88.7,Yes
1474,IT,31,71808,7,41.7,67.6,No
1475,Marketing,35,81853,3,42.9,80.5,Yes
1476,Customer Support,45,70485,9,38.1,71.8,No
1477,Sales,42,110402,9,46.6,84.8,Yes
1478,Finance,40,85297,5,41.6,79.4,Yes
1479,Customer Support,34,45443,10,34.6,88.4,Yes
1480,Marketing,41,73863,12,37.6,75.8,No
1481,Finance,36,104275,4,39.4,75.0,No
1482,Operations,42,52253,9,49.1,84.2,No
1483,Marketing,33,47799,8,44.9,96.5,Yes
1484,Finance,36,86950,4,41.3,92.8,Yes
1485,Finance,28,70394,5,43.7,48.5,Yes
1486,IT,37,90554,11,43.8,64.8,No
1487,Sales,29,80839,7,42.6,66.2,Yes
1488,Engineering,26,71901,8,41.5,68.5,No
1489,Customer Support,40,42783,8,34.2,98.2,No
1490,IT,40,123480,13,37.5,89.5,Yes
1491,Marketing,45,70159,9,43.7,89.4,Yes
1492,Finance,33,68889,4,43.3,88.4,No
1493,Engineering,42,117488,9,42.1,100.0,Yes
1494,Engineering,43,96305,9,46.5,100.0,Yes
1495,Marketing,42,78446,4,39.3,100.0,Yes
1496,Human Resources,29,56945,4,42.9,61.5,No
1497,Finance,39,104279,6,39.7,90.4,No
1498,Sales,41,80938,8,43.3,92.6,Yes
1499,Customer Support,38,70977,3,35.1,74.4,No
1500,Customer Support,22,30039,11,34.8,83.8,Yes
1501,Operations,39,76863,14,51.1,69.1,No
1502,Marketing,60,86533,12,35.9,98.1,Yes
1503,Engineering,34,108043,4,39.2,81.6,Yes
1504,IT,30,82725,4,32.8,74.3,No
1505,Operations,41,63833,5,41.9,67.5,No
1506,Engineering,41,109282,7,41.3,94.1,Yes
1507,IT,49,120938,6,44.4,72.2,No
1508,IT,25,81399,6,39.0,88.1,Yes
1509,Customer Support,45,53903,12,33.3,55.8,No
1510,Operations,43,67700,6,42.0,81.3,Yes
1511,Finance,36,85747,8,44.1,73.8,No
1512,Human Resources,41,63504,4,43.0,70.7,No
1513,Customer Support,48,73756,8,35.5,58.6,No
1514,IT,46,71590,8,37.2,78.5,Yes
1515,Sales,26,70570,5,43.5,40.1,No
1516,Sales,46,87233,8,46.4,92.4,Yes
1517,Human Resources,37,52715,6,43.2,87.5,Yes
1518,IT,38,81575,10,36.9,82.4,Yes
1519,Customer Support,38,55939,9,35.1,63.0,No
1520,Engineering,36,42488,6,33.6,91.2,Yes
1521,Finance,49,91896,7,34.8,70.5,Yes
1522,Human Resources,37,52378,7,35.6,86.3,No
1523,Customer Support,26,51404,8,34.0,85.3,No
1524,IT,34,75960,4,39.1,73.4,Yes
1525,IT,39,90144,11,42.2,100.0,No
1526,Marketing,50,108358,4,40.7,81.2,No
1527,Human Resources,44,76533,7,41.1,100.0,Yes
1528,Engineering,29,93779,9,45.6,100.0,Yes
1529,Sales,62,102122,8,46.0,96.4,Yes
1530,IT,40,102197,8,40.2,82.3,No
1531,IT,50,104210,8,42.8,100.0,Yes
1532,Customer Support,36,54449,17,30.4,95.4,Yes
1533,Customer Support,43,65863,15,37.0,100.0,Yes
1534,Finance,46,89952,4,45.6,82.3,Yes
1535,Operations,50,97916,11,43.4,56.2,No
1536,Customer Support,48,64707,4,38.9,53.2,No
1537,IT,46,112116,14,40.2,69.9,Yes
1538,Engineering,34,109163,1,44.4,77.0,Yes
1539,Marketing,32,78753,9,44.6,94.3,Yes
1540,Sales,41,67194,11,36.6,76.1,No
